Author,Comment,Guesses
Jon Hay,"Rob: 195\nCaptain: 145\nBea: 255\n\nTotal: 615 lbs?",615
Ron Capurso,"639 lbs\nThanks for the videos by the way...I'm addicted!?",639
Luke Morris,"635lbs?",635
Daniel Townsend,"563 pounds?",563
thomas krawczyk,"Cap 107\nChap 163\nRobear 171.     Combined 441 lbs?",441
Vetle,"719 <3<3?",719
funkyflashfive,"Cap: 168\nRob: 215\nRab: 265 \nTotal: 648?",648
john hart,"670 lbs?",670
John Eldridge,"701 lbs?",701
Victor Guichard,"My guesses are :\nRob:95Kg (~209 lb)\nCap:75Kg (~169lb)\nBea:130Kg (~286lb)\nTotal:300Kg (~662lb)?",662
Carmelo Torres,"I'm going with 615lbs total?",615
Jan Freudenthal,"713<comma>9 lbs?",713
mogwai trashcans,"I remember chappers getting tattooed at the studio I worked at in Brighton.  I know mate<comma>  I know.?",
mogwai trashcans,"I'm gonna say you lot<comma> combined<comma>  have a greater weight and density of the sun.?",
Barry Rijsdijk,"Rob - 205\nLee - 165\nRabea - 255\nCombined - 625lbs?",625
Eleanor Hall,"574 lbs?",574
Jaden Lake,"I would guess 650lbs combined?",650
Jerry Uusi-Mikkola,"572?",572
andrecsx,"Rob: 225\nCap: 180\nBea: 205\n\ntotal: 610?",610
Zak Hunt,"630 pounds (pre-brexit value)?",630
GabrieleG,"631 lbs!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?",631
TedB _Music,"603 collective \nRob: 196lb\nCaptain: 154lb\nBea: 253lb?",603
ironbigfra,"I can't find my original guess so I will try 573<comma>3 lbs.\nIf my previous guess is still here somewhere and it's not been deleted please ignore this comment?",573
Danny Desman,"308 kg or 679 lbs. \nand i used google cause the others are pointless?",679
Michael Gallagher,"Greetings! 669lbs?",669
Reilly Ragot,"Rob: 200lbs\nCap: 175lbs\nBea: 250lbs\nTotal: 625lbs?",625
Mick Babl,"Cap: 162\nRob: 189\nBea: 234\n\nTotal: 585?",585
Bryant Cuautle,"Cap: 165\nRob: 203\nBea: 227\nCombined: 595?",595
MechanicalMind7,"Combined Weight = 625 lbs?",625
Martin Stoimenov,"Total: 584 pounds?",584
Brett Bonenfant,"Chappers (the monkey king) 231 lbs\nEl Capitan 189 lbs\nRabea (the fro) 297 lbs?",
Abraham Peel,"I reckon all together it's about 585lbs...?",585
Where am I?,"666.66lbs combined?",666
Shreddy the Kidd,"i guess all of them would weigh 612<comma>4 pounds?",612
Philips Screwdriver,"639.2 lbs?",639
It's me Garry,"650 pounds in total?",650
woesteworst,"total of 617 pounds?",617
Gra130503,"I'd say 623 lbs total?",623
TheOvik32,"573lbs?",573
tuneupdog,"672?",672
Jordan Ellery,"Total weight 714.2 pounds (lb)?",714
Raymond Xue,"Cap: 180.4\nRob: 201.2\nBea: 235.4\n\nTotal: 617?",617
Daveo,"Total of your combined weight is around 747 lbs?",747
kung fu plug socket,"625lbs?",625
Glen Hefner,"685 pounds?",685
the dave,"655?",655
morgan owen-rees,"My previous guess seems to have been deleted cos I cannot find it when I look for it. I'm gunna guess 578lbs this time and hope this one doesn't get deleted. If my old one is still there somewhere then choose to ignore one of the guesses or something<comma> I don't want to cheat.?",578
Aaron Matier,"Rob: 205\nCap: 170\nRabea: 235\n\nAltogether: 610lb?",610
Joseto Contreras,"622 lbs?",622
DoubleEdgeDance,"Lee: 167\nRob: 213\nBea: 271\nTotal combined = 551 lbs?",551
Noah Jaybird15,"Lee: 160\nRob: 195\nBea: 250\nTotal: 605?",605
mike hickman,"613?",613
craig howarth,"total- 682 lbs?",682
Sean Keady,"Rob: 200\nLee: 175\nBea: 235\ntotal: 610?",610
LO3D,"680.9lbs?",680
kwyjiboy11,"Total: 710 lb?",710
Randy Brandes,"my guess is 691?",691
Ted Key,"Anyone know if Chapman Guitars has a Canadian distributor??",
Ted Key,"703 lbs?",703
Humbucker,"Combined weight: 721<comma>5\nRock on ??",721
BK's World of Guitars,"Rob: 245\nLee: 195\nRebbea: 275\nTotal: 715?",715
Felipe Alvarez,"620?",620
Kalign ?Smooth Jazz? Stacks,"Rob : 210\nCaptain:150\nRabae: 285\n\ncombined:545?",545
nightravenUK,"I reckon the total is 632 pounds.?",632
Bobby K,"Total Combined Weight 626 p.?",626
Stephen Mitev,"Total: 623 lbs?",623
Phil Danford,"Cap 179\nRob 215\nBea 230\n\nTotal 624?",624
Danny BallsofDoom,"Cap - 172\nRob - 230\nBea - 280\n\ntotal weight - 682 pounds?",682
Charlie Braham,"Combined: 652lbs?",652
Nanner Hammock,"Cap: 153 lbs\nRob: 207 lbs\nBea: 236 lbs\nTotal: 596 lbs?",596
Josephshanks7,"Rob: 190\nLee: 140\nB: 235\n\nTotal: 565 (lbs)?",565
Victor Minca,"632.5 lbs?",632
luis jose,"580?",580
Jordan Williams,"Rob: 225 \nBea 275\nLee: 150\n\n550lbs?",550
Stuart Russell,"588 pounds combined!?",588
Billy Wright,"cmon guys... the answer is 586 pounds?",586
Michael Gutierrez,"546 lb total?",546
otto fitzsat,"Capt:154\n\nRob:198\n\nBea:243\n\nTotal:595?",595
Anne77,"combined weight: 594 lbs?",594
Nils,"in total 606 lbs?",606
John Mellott,"Rob..218\nCap..168\nBea..260\ntotal  646?",646
Stephen Mccarthy,"630?",630
Ruben Domingos,"564 pounds?",564
josiah tucker,"rob-210lbs\ncap-125lbs\nrab-240lbs\ntotal 625lbs?",625
CrashMcThrasher,"650 pounds?",650
Sean Regan,"Rob: 237\nLee: 175\nRabea: 275\nCombined: 677?",677
Sam b,"Lee: 160 lbs\nRob: 202 lbs\nBea: 242 lbs                   \n\nTOTAL = 604?",604
Christopher Murphy,"622 lbs?",622
Adriushkbg KBG,"Lee: 156<comma>45lb\nRob: 207<comma>67lb\nBea: infinite amount of love 225<comma>21lb\nTotal:  589<comma>13lbs + infinite amount of love.?",589
Chaz Harrison,"635lbs. combined weight<comma> Cap 175<comma> Rob 210<comma> Rea 250?",635
vwkng1,"Total wt = 618 lbs?",618
Eman Resu,"They're all so metal<comma> that I gotta say: 666<comma>666 lbs.\n(Or many<comma> many Mandertons.)?",666
HenkeEdge,"Number of the Beast. 666lbs all together.\n\nUp the Irons dudes. =)?",666
Saumya darne,"ummm 606 pounds<comma> hopefully?",606
Frame Makerzzz,"HEY !!! I guess total would be 617?",617
Kitchen Wrecker,"Rob - 213 lbs\nCap - 186 lbs\nBea - 247 lbs\nCombined - 646?",646
Atanas Pashov,"My guess is 620lbs.?",620
E.F. WISEMAN'S,"my guess is 584<comma>2 pounds as a collective!?",584
Alexandre Prudent,"570 pounds?",570
Danwat97,"662 lbs ??",662
Aleksandar Beli?,"Ok guys<comma> here's my estimate: 632.7 pounds?",632
Kirill Yashuk,"A secret formula says 677 pounds)?",677
Dean Hobson,"617 pounds total?",617
Aarnav Dhanuka,"I'd say 536 pounds?",536
justin profit,"I forgot BEA!!!! 696lbs?",696
Jacob Ford,"Rob: 217The Captain: 162Rabea: 289Total Badassery = 668 lbs.?",668
MKuki1,"Total: 639.340 560 34 pound?",639
TheSeanboard,"730 lbs?",730
Nick Hebert,"Rob: 217\nCap: 167\nBea: 256\nTotal: 640 Lbs?",640
Pablo Hernandez,"My guess of combined weight would be 665 pounds?",665
Thomas Jones,"613 pounds?",613
Christian Aguilar,"Total guess is 525lbs?",525
Gabe Elias,"Rob - 223 pounds\nLee - 178 pounds \nBea - 310 pounds\n\n711 total pounds.\n\nI've never wanted to come in second place so badly before.?",711
Adam Stager,"610 lbs total?",610
Joshua Padolina,"679 pounds?",679
Colt den Dulk,"Cap: 163Rob: 197Bea: 249Total: 609 lbs?",609
vincent nguyen,"Lee - 146lbs\nRob - 178lbs\nBea - 224lbs\n\nTotal = 548lbs?",548
TheGlobuleReturns,"625 lb?",625
IDIOT FILMS,"Cap- 168\nRob- 192\nBea- 256\n\nTotal - 616?",616
Kyle Viana,"Rob: 237\nLee: 155\nBea: 288\n\nTotal: 680 lbs?",680
Neil Frost,"604lbs combined weight?",604
Tibor Kuczora,"My guess is 641<comma>5 lbs.?",641
For The Oracle,"Bit of Floyd<comma> cannae go wrong.?",
Mads Jul,"So<comma> i think it's 573 lbs?",573
K Jones,"Rob: 185 lbs\nBea: 235 lbs\nCap: 145 lbs\nTotal: 565 lbs?",565
TheFuzzgod,"661.3lbs?",661
Frank  Fernandez,"619lbs. total?",619
Stephen Barlow,"Rob: 3\nCap: 2 \nBea: 4\nRobs guitar collection: 300<comma>000\nTotal: 300<comma>009?",
dobelini303,"Cap: 155\nRob: 210\nBea: 265\nCombined: 630 lbs?",630
metspin1,"635 lbs total?",635
marioandluigi3313,"749.6lbs?",749
NFowler44,"577 lbs?",577
NFowler44,"577lbs?",577
Acrono6,"617<comma>4 lbs?",617
OfficialMarc1,"Cap: 160\nRob: 210\nBea: 245\n\nTotal: 615lbs?",615
Jason Milios,"Total: 676\nRob: 211\nbea: 277.7\nLee: 187.3?",676
heimaturlaub,"176 lbs for Lee\n207 lbs for rob\n242 lbs for bea\ntotal of 625 lbs?",625
MrTubelberg,"lee=177lbs\nrob=214lbs\nbea=250lbs\ntotal=641lbs?",641
BAT SLOTH,"550 lbs?",550
SomeKindOfCactus,"712 pounds?",712
squigga,"170 lbs for Lee\n225 for rob \n275 for bea\ntotal of  670 lbs?",670
Jacob Burns,"605 lbs?",605
Clarence Trinidad,"My guess is 590lbs?",590
mdgolobic,"649 lbs?",649
Vishal Nagster,"590 lbs?",590
Jeremy Gray,"658?",658
Andy French,""Dual tuners<comma> man... it's the future." ~Cap?",
Donald Mackenzie,"Lee: 182\nRob: 224\nRab: 308\nCombined: 714lbs?",714
Tony Johnson,"Lee 186lbs\nRob 218 lbs\nRabea 247 lbs\n\nTotal 651 lbs?",651
Cubbies 2000,"Lee- 176\nRob-223\nBea- 262\nTotal: 661 pounds\nHere's hoping...?",661
Ed Klynyrd,"Lee: 158\nRob: 218\nBea: 275\n\nSum : 651?",651
Jacob Dahlberg,"647.3lbs :)?",647
Reisler Da Costa,"668.7 lbs?",668
Stefano Ssandoval,"569lbTotal?",569
Jo?o Bastos,"Rob: 220 lbs\nBea: 287 lbs\nCap: 176 lbs\n\nTotal: 683 lbs?",683
Glassvein,"Bea: 228\nCap: 133\nRob: 196\ntotal: 557?",557
randomer 24,"800 pounds?",800
danny chan,"Your combined weight is 565 lb?",565
davemathias,"665 lbs ?.?\n??",665
guits,"Gonna go with 705lbs and hope for a birthday gift lol?",705
mykel wellshyre,"Lee- 172 Lbs\nRob- 215 lbs\nBea- 287 lbs\nTotal: 674 lbs?",674
Riku Rantalainen,"Cap: 160\nRob: 191\nBea: 240\n\nTotal: 591lbs.?",591
Danny Choi,"Total: 575?",575
Patrick Gavin,"686 Ib?",686
Fraser Singh,"Rob - 188 lbs\nLee - 162 lbs\nRabea - 244 lbs\n\nCombined - 594 lbs?",594
Winston Johnson,"659<comma>1822lbs.?",659
Tato Gonzalez Ayala,"684 lbs combined?",684
Michel Raskin,"Rob:210\nCap:170\nRebea:200\nTotal:580?",580
Capture DatGame,"Cap: 167\nRob: 209\nBea: 278\n\nCombined: 654lbs.?",654
Pablo Griswold,"614.7 lbs?",614
???? ??????,"684<comma>53532 lbs?",684
Steve Morris,"685lbs ???",685
mattych4pes,"623.16?",623
Snampo,"670<comma>69 lbs?",670
Thomas Harris,"Combined Weight: 690?",690
Tuomas Jouha,"Combined: 693?",693
Raymond Fee,"622?",622
Bog?ti-Bokor ?kos,":) \nLee 167\nRob 266\nRabea 287\nSo<comma> combined 720?",720
Metalman Ste,"total weight: 573 lbs?",573
Babs A,"583 lbs?",583
Seabeast ?SeabeastHS?,"I really hope I'm close<comma> good luck to all of you!\n\nCaptain - 152lbs\nChappers - 180lbs\nRabea - 235lbs\n\nCollective weight: 567lbs?",567
Anthony Janairo,"632?",632
Jacob Koehn,"Lee-167\nRob-218\nRabea-285\ncombined-670?",670
H. Mesa,"Captain: 168\nChappers: 218\nBea: 268\n\ntotal: 654?",654
N5KDA,"Total weight for all three of you\nis about 725 pounds?",725
Johnny Cakez,"681 lbs?",681
Micheal Muhammad,"685lbs?",685
Evan Kok,"595 lbs?",595
AJ Chowdhury,"who win on this raffle? or you guys havent yet pick??",
Andrew DeLong,"666 lbs.?",666
Tom Davey,"572 lbs?",572
mervolicious,"I am sorry - my guess is 672. Again<comma> I am sorry :D?",672
PredicateWinning,"guessing 602 lbs?",602
david ross,"Cap 169<comma>  M.Lord 245<comma>  Bea 252 = 666 the number of the beast. Sacrifice is going on tonight.?",666
Rexpc,"guess : 666 Pounds?",666
Owen Newburn,"My guess is 654lbs. Hope I win!!!?",654
Daniel Bayer,"Captain: 164\nChappers: 208\nBea: 261\n\nCombined: 633?",633
ShaggyPC,"Lee: 165\nRob: 215\nBea: 235\nOverall: 615?",615
Rory O Brien,"Lee: 170\nRob: 200\nBea:240\n\nTotal:610Ibs?",610
Trazock,"692 lbs?",692
Brandon,"663 lbs?",663
Kevin Bluhm,"[555 lb total] 135 lb Lee; 201 lb Rob; 219 lb Bea.?",555
Dance Like Kings,"Combined = 696.661?",696
Alex McClement,"My guess is 672 lbs?",672
Anthony lewandowski,"Lee ~ 125~ pounds\nRob ~135 ~pounds\nBea ~ 235 ~pounds\nTotal ~ 495~ pounds?",495
Ricky Tan,"720 pounds?",720
Josiah Montgomery,"685 lbs?",685
Himmat Sidhu,"567lbs?",567
jazzva,"Total weight: 687.84?",687
LUCKY CRIMINAL,"667?",667
Small TownHabit,"Cap:  189 lbs\nRob:  226 lbs\nBea:  269 lbs\n\nTotal:  684 lbs\n\nLove your videos guys!?",684
KPVisionable,"My guess is 639<comma>2 lbsGood Look Everyone :)?",639
Raiden Borunda,"Cap: 155\nRob: 195\nBea: 225\n \nTotal: 575?",575
Mario Perez,"Cap: 175\nRob: 200\nBea: 270\nGrand Total: 645 lbs.\nFingers crossed?",645
injection18,"638.2 lbs?",638
John Rutter,"640lbs total?",640
Blake Wallace,"Total=650?",650
David Gempesaw,"651?",651
TwoTimesPeachy Official,"647 combined?",647
Luiz das pedras,"My guest is:\n639 combined.?",639
Bernhard Niksch,"Lee - 181\nRob - 234\nRabea - 286\nTotal = 701?",701
Joe Randall,"Overall 601lbs?",601
Andrew Gregory-liddle,"600Ibs?",600
Aice the Fries,"280 kg makes it \n617lbs  ??",617
Maximiliano Estevez,"Cap:159 \nRob: 219\nBea: 270 \n\ntotal:648?",648
yosualesmana,"My guess is 704 lbs. Cheers!?",704
El Hombre Murcielago,"cap: 178\nrob: 232\nrabea: 262\noverall: 672?",672
Sam Wilding,"536?",536
Sammy Carnivore,"666lbs of course!?",666
Philip J Brennan,"620 lbs. for the three of you! Cheers!?",620
Elijah VsFriends,"Cap: 178\nRob: 211\nBea: 264\n\nTotal:653?",653
Alex Mcdermott,"580lbs?",580
George Davenport,"Captain: 170\nRob: 200\nRabea: 280\nTotal: 650?",650
antares114,"My guess is 710 lbs.  Btw<comma> you guys are great! Keep up the good work and cheers from Croatia! :)?",710
TheGuitarGustin,"Rob Chapman: 232 lbs\nCapt Lee: 189 lbs\nRabea: 288 lbs\ncombined: 764?",764
Ben Joshua Fernandez,"Lee- 161 lbs\nRob- 231 lbs\nRabea- 287 lbs\nCombined- 679 lbs?",679
Kjell Olsen,"My guess is 655 :)?",655
Anavrin,"Rob: 210\nCap: 160\nRabea: 242\n\nTotal: 612lbs?",612
Nelson Silva,"Lee : 180 lbs\nRob : 196 lbs\nBea :  264 lbs\n\n combined : 640 lbs?",640
Denver Beaton,"625 lbs?",625
Phil Albinus,"665<comma> baby.?",665
Martin ?vec,"644 lbs combined!?",644
Rory Smith,"620lbs?",620
Adam Rainey,"630 lbs?",630
Akshit Jha,"Captain: 169\nRob: 195\nRabea: 250\nTotal: 614?",614
Atanas Micalevski,"My guess is 727.5 :)?",727
Liam Greer,"Cap: 163\nRob: 212\nBea: 260\n\nTotal: 635 lbs?",635
Julian Wagner,"Total: 696 lbs :)?",696
Astralis,"I'm guessing in KG so the numbers are a little strange<comma> Bea at about 264<comma> Rob at about 209 and Lee at 165<comma> so I believe my guess is 638. Hope I get it >_<?",638
George Baker,"620lbs ;)?",620
Vinnie Marks,"Cap:134\nRob:226\nBea:306\n\nTotal:666?",666
Wadsmitter,"615<comma>7Ibs?",615
James Emberton,"The combined weight of rob<comma> bea and lee is 646lbs is my estimate?",646
Aerostatik,"I'm gonna hazard a guess at 627? Yeah that'll do.?",627
andre oviedo,"747.5 lbs?",747
Tiger Woods,"Lee: 189 Rob:231 Rabea: 268.834? Total: 688.834lbs?",834
Richard Elmes,"621!?",621
kiwipiraka,"666 lbs?",666
JustAGuy247,"Combined weight: 617<comma>3 pounds?",617
bepperock,"Well... I reckon 607 lbs\nCaptain:163\nRob:198\nRabea:246?",607
Gerard Mart?nez Carbonell,"615lbs combined!?",615
Snapples49,"Just gonna take a blind stab in the dark and say 629.3 lbs total. Cheers guys<comma> awesome video :)?",629
Peter Lund,"650<comma>3 :-) \nGreat idea with the competition guys :-D?",650
Hans Maier,"The three of you together: 642 lbs?",642
Cory Engel,"676?",676
Jeff Patton,"Cap: 160\nRob: 195\nBea: 250\nTotal: 605 pounds?",605
Kyle jackson,"I think 610 pounds?",610
Kyle jackson,"I think 610.5?",610
Adry Amani,"Cap: 163\nRob: 220\nBea: 275\n\nTotal: 658lbs?",658
Micah,"563 lbs.?",563
wyatt postlethwaite,"677?",677
Ray Crook,"Lee: 146\nRob: 202\nBea: 252\nTotal: 600?",600
Victor Creed,"685 lbs (I meant lbs<comma> I meant lbs!)?",685
Victor Creed,"685 kg?",685
electricj5,"668.7?",668
Ches Jimenez,"Total weight: 595.26 lbs?",595
Ulises Bustos,"Together you weight  590.8 pounds. \n90 kilos for chappers\n70 kilos for cap\nand 105 kilos for bea.\ni just use a converter online from kilos to pounds haha?",590
Hector Montalvo,"Total of 735 lbs.?",735
Herfinnur ?rnafjall,"608 pounds<comma> but it is extremely hard to guess Robea's weight. \n\nHis bone structure seems like the progenitor for the space marines in Warhammer 40<comma>000<comma> and It is very hard to guess how much of bulk is muscle and how much is blubber. It seems like most of it would be muscle. \n\nRob seems similarly built as me<comma> and I'm about three-four inches taller<comma> so I'm guessing he is around 220 pounds. The Cap'n is probably about  180 pounds<comma> and Robea is somewhere between 240 pounds and 2200 pounds. The bulk of that uncertainty is of course hair?",608
skintification,"678lbs?",678
Russell Routh,"Capt 160\nRob 215\nBea 230\n\nTotal: 605?",605
Elyse Sheffield,"Capt.165\nRob. 220\nBea. 235\n\nTotal: 620?",620
GinoMarks,"I'm gonna go with 693 total lbs?",693
Thomas Meyer,"Lee: 165\nRob: 225\nBea: 256?",
Lton,"Cap: 173\nRob: 221\nBea: 286\nTotal: 680 lbs?",680
Brian Douglas,"635lbs?",635
Jack Bancroft,"Capt: 156\nRob: 221\nBea: 294 \n\nTotal: 671?",671
ThEsErVeR1000,"I guess in total 654<comma>77 lbs?",654
Lasse 123,"would be an amazing birthday present on 9th July<comma> so my guess is 676<comma>819 lbs?",676
Matt H,"Lee: 183 lbs\nRob: 234 lbs\nRabea: 292 lbs\nTotal: 709 lbs?",709
Filip Kostadinovic,"rob- 216\ncap- 176\nbea- 242\ntotal- 634?",634
LB threesixfive,"Awesome display of strength by the Mooer case there. Going with 616lbs?",616
M. Stankovic,"Lee:175\nRob:210\nRebea240\n\nTotal: 625 pounds?",625
Mat?j Pokorn?,"Total: 661.387 lbs?",661
Geert Mangelschots,"628<comma>317?",628
Martin Soulsby,"594.2?",594
Pieter Mangelschots,"My guess will be 645.3897 lbs. Love the Gilmour board!?",645
Stijn Winter,"My guess: 711<comma>4 lbs?",711
mori mori,"617.lbs\nthough I live in Japan...?",617
Cian Healey,"650 lbs total?",650
Gregory Fiach,"644 lbs. is my guess?",644
Vetrro,"Total: 652 lbs  Good Luck to Everyone else! :D?",652
Jake of all trades,"Lee 161\nRob 185\nRabea 209\nTotal 555lbs?",555
Bruno Heleno,"650 lbs?",650
Bryan Jones,"Total: 671?",671
leonardobrokim,"670<comma>21?",670
Brian Everitt,"730 lbs. total?",730
Archie Keys,"603lbs?",603
Danny Cadden,"Lee: 144 pounds\nRob: 200 pounds\nRabea: 347 Pounds\nTotal: 691 Pounds?",691
Jack Arkesden,"Rob: 201 lbs\nLee:160 lbs\nRabea:250 lbs\n\nTotal: 611 lbs?",611
wowlion wow,"710lbs?",710
Blake Brown,"Had to delete my last one<comma> forgot to write the total\nLee: 165 lbs\nRob: 235 lbs\nRubier: 265lbs \ntotal: 665?",665
mm zou,"616lbs!! Hope I am right :)?",616
Natalie Freeman,"688.5 lbs total.?",688
SaintButcher,"Total: 592lbs :)?",592
Fr33m4nLP,"total: 688 lbs.?",688
Delgado Tony,"Lee: 165 lbs\nRob: 250 lbs\nRabea: 300 lbs\n\ntotal: 615 lbs?",615
Tom Guppy,"724lbs?",724
MrJammyeye,"648lbs?",648
Barak Shorts,"Lee: 183Rob: 217Rabea: 319Total: 719lbs?",719
Jocelyn Rebate,"835LBS?",835
??????? ?????,"629 lbs combined?",629
hobo755,"Rob: 220 \nLee : 180\nRabea: 268\n Total: 668 pounds?",668
Jimmy Earle,"Rob: 209\nLee: 182\nRabea: 273\nTotal: 664 pounds?",664
Devin Meza,"Cap:178\nRob:232\nRabea:246\n\nTotal:656?",656
Tom Zhang,"Lee: 175<comma> Rob: 220<comma> Bea: 275.  Total Weight: 670 pounds?",670
Matheus Rafael,"Lee: 165\nRob: 190\nBea: 260\nTotal: 615lbs?",615
The Requisite,"The captain Lee: 185 pounds\nRob Chapman:  230 pounds\nRabea: 270\n Total: 685?",685
James Crosby,"Total~ 658lb?",658
OakleyPiper,"cap'n: 177\nrob: 234\nbea: 283\n\ntotal: 694?",694
Albert Jones,"Total = 555?",555
razvanhogea,"I think you guys are 638 pounds of quirky<comma> fun<comma> guitar-playing awesomeness. \n\nI noticed the comments before you announced the challenge in the video and it didn't make any sense<comma> everyone was adding random numbers :)))?",638
AhhRawrRahh TOLB,"780 lb??",780
jarrid hollander,"Cap: 160\nRob: 230\nBea: 290\n\nTotal: 680?",680
Tudor Harries,"500 lb?",500
Elijah Hunter,"756 lbs?",756
Abstract Thinking,"Rob: 234\nLee:172\nRabea: 334\n\nTotal:740lbs?",740
shawn light,"652 pounds total.\nNot in value<comma> but in weight. :D?",652
Dale Rusch,"775?",775
edemlippay,"699lbs?",699
Mark Jaborcsik,"679 lbs?",679
Azbine123,"Cap:179  //  Rob:213   // Bea:264  // TOTAL 656 POUNDS?",656
D?me N?dasdi,"I'm going to go with 666 and trust the Devil on this one. TOTAL is 666 LBS?",666
reneG@de,"Total 671 lbs?",671
JoeHartGuitar,"I think 663lbs.?",663
Shouvik Paul,"Lee=185lb\nRob=227lb\nRabea=262lb\nTotal=675lb?",675
TheTrooper23,"Rob: 225 lbs   Lee: 181<comma>5    Bea: 281     Total: 687<comma>5 lbs?",687
Luiz Evaldo Padua Filho,"total: 681lbs?",681
Nick Sarink,"I guess 636 lbs?",636
Ashley Walters,"661 pounds.?",661
Mr.CoolStrats,"Cap: 163\nRob: 209\nBea: 226\n\nTotal: 598?",598
Robert Fordin,"Total: 617 lbs?",617
thommytaranto,"Lee: 177...  Rob: 210 ... Bea: 290 ... Total= 677?",677
gix xerig,"rob 225 lee 185 rebea 260 =670?",670
mason timson,"637lbs total?",637
Julian Bataller,"Rob = 213<comma>848 cap = 165<comma>347 rabea = 264<comma>555 total = 643<comma>75?",848
Tyler Sawyer,"Rob.........231....  Rebea....240 ...chap...... 175 - TOTAL: 646!!!?",646
G. Thomas,"Rob-231lbsLee-189lbsRabea-300lbsTotal-720lbs?",720
M. Seabaugh,"I'm guessing 785 lbs!?",785
TheLuiscelaya,"Rob: 224\nLee: 174\nRabea: 296\n\nTotal: 694lbs?",694
Luk?? Kop?iva,"Total: 596lbs.?",596
N3D Films,"Rob: 231\n Lee: 189\n Rabea: 294\n  Total: <b>714lbs</b>?",714
jonny guitar,"567<comma>5 pounds in total?",567
bonnydoe1,"614 in total?",614
daniel tearpak,"Lee: 175 \nRob: 186\nRabea: 245 \nTotal: 606?",606
yonathan heirman,"I think it's 610.9 lbs sorry if that's a bit much :) love the show keep it up!?",610
RonN Edwards,"686 lbs?",686
DrWitoz,"My guess is 677 lbs total.?",677
Micah Berlow,"Cap: 165  Rob: 210 Rabea: 250 Total poundage: 625lbs?",625
Scorpio,"Cap: 155lbs Rob: 187lbs Rabea: 198lbs total: 540lbs?",540
Ted Moseby,"I think its 646 in total.?",646
MakaPaka101,"562.7 pounds?",562
Sean Schertell,"Rob=210\nLee=190\nBea=280\n\nTotal 680?",680
